Serial # of the imaged chromosome,ID # of the imaged TAD,x(um),y(um),z(um)
23,15,22.792764,22.6373,2.702019
23,16,22.69973,22.608813,2.606963
23,17,23.083558,22.568744,2.733784
23,18,23.180552,22.174432,2.405183
23,19,22.962982,22.266194,2.75364
23,20,22.58631,21.669741,3.313286
23,21,22.126258,22.058838,2.595748
23,22,22.468468,21.986818,3.012814
23,23,21.88944,22.13489,3.236292
23,24,,,
23,25,21.966883,22.530067,2.884515
23,26,22.4597,22.977276,3.723122
23,27,22.433363,23.223801,3.060196
24,1,19.500183,18.940598,0.955288
24,2,19.67939,19.026425,1.265213
24,3,19.792475,19.428923,1.904005
24,4,19.054432,19.06189,1.916883
24,5,19.049387,19.411658,2.232476
24,6,19.466399,18.243805,2.935326
24,7,,,
24,8,19.404734,18.248707,2.867848
24,9,19.361772,18.912765,2.206522
24,10,,,
24,11,18.151848,19.325636,1.720292
24,12,18.53055,19.356394,1.619856
24,13,18.836718,18.922273,1.140322
24,14,19.23973,19.008982,1.007601
24,15,19.359451,18.408936,1.751498
24,16,19.133744,18.467883,1.979602
24,17,19.013901,18.202281,2.178047
24,18,19.327559,17.644048,2.558047
24,19,18.934385,17.467007,1.969578
24,20,18.830241,18.027764,2.299652
24,21,18.046216,18.243201,2.637866
24,22,18.920408,18.756083,2.094529
24,23,18.768926,18.901765,1.752872
24,24,,,
24,25,18.853053,18.637372,2.325296
24,26,19.446467,17.517523,3.235976
24,27,19.312751,17.040946,2.525519
25,1,18.418658,19.637787,1.075733
25,2,17.754133,19.890557,1.721049
25,3,18.233143,19.901877,2.248769
25,4,18.245679,20.50176,2.074193
25,5,,,
25,6,18.184446,20.367253,1.034285
25,7,18.142182,18.828523,1.539312
25,8,17.658363,20.371948,1.754561
25,9,17.679204,20.425052,1.63155
25,10,17.365699,20.270281,1.913363
25,11,19.137004,19.677889,1.836142
25,12,18.961147,21.107306,0.918305
25,13,17.251519,20.253404,0.927464
25,14,17.17011,20.940212,0.887848
25,15,17.093927,19.428211,1.383948
25,16,17.168745,19.212887,1.674285
25,17,17.55509,19.047824,1.445475
25,18,17.170394,18.827779,1.880093
25,19,17.288288,18.89384,2.340699
25,20,18.03507,18.835953,1.656128
25,21,,,
25,22,17.70056,19.91105,2.48619
25,23,17.720303,19.787163,2.613634
25,24,17.23522,20.133518,2.724486
25,25,16.672508,20.092227,1.879584
25,26,17.172264,20.006232,1.203929
25,27,17.061993,20.011616,2.356999
26,1,24.38007,20.857847,0.915313
26,2,24.454558,20.816863,1.445687
26,3,23.800368,21.039386,1.753288
26,4,23.911902,21.042478,1.951619
26,5,24.011985,20.88946,2.543179
26,6,24.544288,20.865983,1.611724
26,7,22.461041,21.457835,2.599268
26,8,23.819683,20.708676,1.88393
26,9,23.702668,20.70608,2.198441
26,10,23.487194,20.961828,1.671907
26,11,23.078123,21.411902,1.308062
26,12,22.95873,20.621599,1.551048
26,13,22.939772,20.224219,1.12891
26,14,23.877751,20.949881,0.828839
26,15,23.972867,21.584205,1.942715
26,16,24.308212,21.577123,1.845487
26,17,24.023866,21.184333,1.971467
26,18,24.242423,20.76791,1.330246
26,19,24.308957,20.844527,1.65053
26,20,,,
26,21,22.148008,20.91422,2.195747
26,22,24.368388,21.496478,2.108301
26,23,24.536007,22.08152,2.137907
26,24,24.224999,22.472272,2.144788
26,25,24.181704,22.274961,0.902426
26,26,22.741241,22.650617,3.146795
26,27,22.910328,22.057665,2.29788
27,1,23.36064,20.862957,2.886595
27,2,23.216107,19.844324,2.462193
27,3,22.702514,20.086163,2.202554
27,4,23.39302,19.255456,2.294713
27,5,23.257026,19.477678,2.196939
27,6,23.292835,19.728359,2.416032
27,7,23.453251,19.911482,2.793966
27,8,23.438435,20.143854,2.70408
27,9,23.380252,20.097324,2.82412
27,10,23.556584,20.549261,2.581951
27,11,23.373125,21.295319,2.035883
27,12,23.826191,21.574077,1.828531
27,13,23.76292,21.441213,3.032169
27,14,23.356278,21.735405,3.118833
27,15,23.909604,21.66929,2.644453
27,16,23.909329,22.092367,2.469532
27,17,23.365936,21.722381,2.821737
27,18,23.301787,21.735259,2.426955
27,19,23.216672,21.162002,2.225099
27,20,22.867114,21.214982,1.777585
27,21,22.691638,21.536616,1.880556
27,22,23.211096,22.014471,2.123293
27,23,23.224217,22.042692,2.136589
27,24,24.144829,22.087559,2.475509
27,25,23.367728,21.545211,2.534699
27,26,23.426321,20.679891,3.002444
27,27,23.127535,20.642049,2.099361
28,1,26.809551,25.157437,3.01743
28,2,27.049097,24.717905,2.711874
28,3,26.965594,24.259395,2.700354
28,4,27.21727,23.973677,2.356211
28,5,27.236651,24.192249,2.091941
28,6,27.113016,25.094677,2.574901
28,7,27.599838,25.930216,2.339355
28,8,27.770274,25.543076,2.451693
28,9,27.494359,25.658946,2.580986
28,10,27.751477,25.916638,2.231406
28,11,27.706964,26.614651,1.876884
28,12,27.517581,27.066667,1.613342
28,13,27.497274,26.03559,2.669926
28,14,27.163502,25.911754,2.732119
28,15,27.617577,26.424224,2.105807
28,16,27.465382,26.822051,1.854749
28,17,27.360262,26.184795,2.6667
28,18,27.185155,26.335778,2.307787
28,19,26.735192,27.019842,1.662525
28,20,27.353692,26.206768,0.902306
28,21,27.134685,26.274714,1.66067
28,22,27.205493,25.569076,1.275644
28,23,27.47472,25.151349,1.936656
28,24,27.241695,25.334302,2.863181
28,25,27.442019,25.479913,2.224521
28,26,26.724193,25.809288,2.934079
28,27,26.825155,27.383512,2.143741
29,1,25.615806,24.261602,3.275029
